date,location,activity,accuracy,ping_time,latitude,longitude,accuracy
2024-11-23,NY,Personal,1534,2024-11-23 09:30,41.64472198,-73.76909637,1534
2024-11-23,NY,Personal,1534,2024-11-23 09:36,41.61564255,-73.78878021,1534
2024-11-23,NY,Personal,6753,2024-11-23 09:53,41.73762894,-73.69953918,6753
2024-11-23,NY,Personal,42,2024-11-23 10:02,41.74434662,-73.70166779,42
2024-11-23,NY,Personal,1534,2024-11-23 10:11,41.63520432,-73.77553558,1534
2024-11-23,NY,Personal,2966,2024-11-23 10:20,41.74447632,-73.70198059,2966
2024-11-23,NY,Personal,72,2024-11-23 10:31,41.74874878,-73.69591522,72
2024-11-23,NY,Personal,1991,2024-11-23 10:42,41.72834396,-73.72335815,1991
2024-11-23,NY,Personal,28,2024-11-23 10:53,41.7450943,-73.69285584,28
2024-11-23,NY,Personal,1991,2024-11-23 11:00,41.72112274,-73.7358017,1991
2024-11-23,NY,Personal,19,2024-11-23 11:08,41.74496078,-73.69268036,19
2024-11-23,NY,Personal,1991,2024-11-23 11:14,41.72896957,-73.72157288,1991
2024-11-23,NY,Personal,24,2024-11-23 11:26,41.74480438,-73.69261169,24
2024-11-23,NY,Personal,1991,2024-11-23 11:34,41.7212944,-73.73548889,1991
2024-11-23,NY,Personal,1903,2024-11-23 11:41,41.73353195,-73.71323395,1903
2024-11-23,NY,Personal,1991,2024-11-23 11:49,41.72215271,-73.73394012,1991
2024-11-23,NY,Personal,14,2024-11-23 11:55,41.74477386,-73.69285584,14
2024-11-23,NY,Personal,1991,2024-11-23 12:02,41.72525787,-73.72830963,1991
2024-11-23,NY,Personal,21,2024-11-23 12:14,41.74512482,-73.69264984,21
2024-11-23,NY,Personal,1991,2024-11-23 12:19,41.73001099,-73.71968842,1991
2024-11-23,NY,Personal,1000,2024-11-23 12:31,41.74183655,-73.69827271,1000
2024-11-23,NY,Personal,1991,2024-11-23 12:36,41.72117996,-73.73570251,1991
2024-11-23,NY,Personal,1000,2024-11-23 12:41,41.74422836,-73.69380188,1000
2024-11-23,NY,Personal,1991,2024-11-23 13:01,41.72124863,-73.73557281,1991
2024-11-23,NY,Personal,12,2024-11-23 13:08,41.74491882,-73.69271088,12
2024-11-23,NY,Personal,1991,2024-11-23 13:14,41.72156143,-73.73500824,1991
2024-11-23,NY,Personal,1991,2024-11-23 13:20,41.73302078,-73.71424103,1991
2024-11-23,NY,Personal,1991,2024-11-23 13:26,41.72115326,-73.73574829,1991
2024-11-23,NY,Personal,27,2024-11-23 13:38,41.74479675,-73.69272614,27
2024-11-23,NY,Personal,1991,2024-11-23 13:44,41.72093582,-73.73613739,1991
2024-11-23,NY,Personal,29,2024-11-23 14:18,41.74493408,-73.69265747,29
2024-11-23,NY,Personal,1991,2024-11-23 14:30,41.72114944,-73.73575592,1991
2024-11-23,NY,Personal,17,2024-11-23 14:44,41.7449913,-73.69270325,17
2024-11-23,NY,Personal,1991,2024-11-23 15:02,41.73003769,-73.71964264,1991
2024-11-23,NY,Personal,17,2024-11-23 15:14,41.7448082,-73.69281769,17
2024-11-23,NY,Personal,1991,2024-11-23 15:20,41.72055435,-73.73683929,1991
2024-11-23,NY,Personal,19,2024-11-23 15:29,41.74502945,-73.69277191,19
2024-11-23,NY,Personal,1991,2024-11-23 15:35,41.72301865,-73.73236084,1991
2024-11-23,NY,Personal,14,2024-11-23 15:45,41.74480438,-73.69271088,14
2024-11-23,NY,Personal,3518,2024-11-23 15:54,41.72190094,-73.73590088,3518
2024-11-23,NY,Personal,1991,2024-11-23 16:00,41.73258591,-73.71482086,1991
2024-11-23,NY,Personal,1991,2024-11-23 16:05,41.72111511,-73.73581696,1991
2024-11-23,NY,Personal,14,2024-11-23 16:13,41.74656296,-73.68678284,14
2024-11-23,NY,Personal,1991,2024-11-23 16:20,41.72114944,-73.73575592,1991
2024-11-23,NY,Personal,24,2024-11-23 16:34,41.74655151,-73.68734741,24
2024-11-23,NY,Personal,1991,2024-11-23 16:45,41.72264099,-73.73291779,1991
2024-11-23,NY,Personal,20,2024-11-23 16:53,41.7456131,-73.69438171,20
2024-11-23,NY,Personal,1991,2024-11-23 17:06,41.7227478,-73.733284,1991
2024-11-23,NY,Personal,24,2024-11-23 17:11,41.74438095,-73.70185852,24
2024-11-23,NY,Personal,4000,2024-11-23 17:42,41.46855164,-73.74186707,4000
2024-11-23,NY,Personal,3653,2024-11-23 17:48,41.55265427,-73.76403046,3653
2024-11-23,NY,Personal,3518,2024-11-23 17:55,41.7313118,-73.72158051,3518
2024-11-23,NY,Personal,35,2024-11-23 18:00,41.74450302,-73.70172882,35
2024-11-23,NY,Personal,1810,2024-11-23 18:35,41.72807693,-73.72560883,1810
2024-11-23,NY,Personal,4,2024-11-23 18:40,41.74435043,-73.70205688,4
2024-11-23,NY,Personal,9,2024-11-23 18:45,41.72893524,-73.71548462,9
2024-11-23,NY,Personal,4,2024-11-23 18:51,41.72510147,-73.71898651,4
2024-11-23,NY,Personal,4,2024-11-23 18:56,41.67762756,-73.75233459,4
2024-11-23,NY,Personal,4,2024-11-23 19:01,41.64365387,-73.75873566,4
2024-11-23,NY,Personal,4,2024-11-23 19:06,41.62734222,-73.77178955,4
2024-11-23,NY,Personal,5,2024-11-23 19:11,41.59111404,-73.7977066,5
2024-11-23,NY,Personal,5,2024-11-23 19:16,41.58128357,-73.80738831,5
2024-11-23,NY,Personal,5,2024-11-23 19:34,41.57667923,-73.80747986,5
2024-11-23,NY,Personal,5,2024-11-23 19:39,41.55524063,-73.77846527,5
2024-11-23,NY,Personal,10,2024-11-23 19:44,41.48933029,-73.80764008,10
2024-11-23,NY,Personal,5,2024-11-23 19:49,41.42148972,-73.7977066,5
2024-11-23,NY,Personal,5,2024-11-23 19:54,41.36075211,-73.80377197,5
2024-11-23,NY,Personal,5,2024-11-23 19:59,41.2872963,-73.81938934,5
2024-11-23,NY,Personal,5,2024-11-23 20:04,41.21335983,-73.81041718,5
2024-11-23,NY,Personal,5,2024-11-23 20:09,41.13271332,-73.8155899,5
2024-11-23,NY,Personal,5,2024-11-23 20:14,41.06334686,-73.8069458,5
2024-11-23,NY,Personal,5,2024-11-23 20:19,40.99482346,-73.83652496,5
2024-11-23,NY,Personal,10,2024-11-23 20:24,40.94236374,-73.85237122,10
2024-11-23,NY,Personal,5,2024-11-23 20:29,40.93170166,-73.87449646,5
2024-11-23,NYC,Personal,5,2024-11-23 20:34,40.90035248,-73.89722443,5
2024-11-23,NYC,Personal,10,2024-11-23 20:39,40.86968994,-73.93077087,10
2024-11-23,NYC,Personal,10,2024-11-23 20:44,40.85066223,-73.94683075,10
2024-11-23,NJ,Personal,10,2024-11-23 20:49,40.85070801,-73.96451569,10
2024-11-23,NJ,Personal,5,2024-11-23 20:54,40.8296051,-73.97196198,5
2024-11-23,NJ,Personal,10,2024-11-23 20:59,40.81429672,-73.98365784,10
2024-11-23,NYC,Tower Jump,2000,2024-11-23 21:31,40.79667282,-73.97540283,2000
2024-11-23,NJ,Personal,1000,2024-11-23 21:36,40.81167984,-73.98203278,1000
2024-11-23,NYC,Tower Jump,2000,2024-11-23 22:13,40.82800674,-73.96066284,2000
2024-11-23,NJ,Personal,35,2024-11-23 22:18,40.81167984,-73.98201752,35
2024-11-23,NJ,Personal,40,2024-11-23 22:41,40.80707932,-73.99087524,40
2024-11-23,NJ,Personal,187,2024-11-23 22:46,40.79914474,-73.99622345,187
2024-11-23,NJ,Personal,1414,2024-11-23 23:05,40.81199265,-73.97653961,1414
2024-11-23,NJ,Personal,160,2024-11-23 23:11,40.80069733,-73.99472046,160
2024-11-23,NJ,Personal,1414,2024-11-23 23:18,40.83583069,-73.96207428,1414
2024-11-23,NJ,Personal,72,2024-11-23 23:23,40.79991531,-73.99562836,72
2024-11-23,NYC,Tower Jump,1421,2024-11-23 23:29,40.78962326,-73.98303986,1421
2024-11-23,NJ,Personal,5,2024-11-23 23:34,40.80696487,-74.00177765,5
2024-11-23,NJ,Personal,10,2024-11-23 23:39,40.82846451,-74.0103302,10
2024-11-23,NJ,Personal,5,2024-11-23 23:44,40.8540535,-74.01415253,5
2024-11-23,NJ,Personal,10,2024-11-23 23:49,40.89083481,-74.07354736,10
2024-11-23,NJ,Personal,10,2024-11-23 23:54,40.90184784,-74.15306091,10
2024-11-23,NJ,Personal,10,2024-11-23 23:59,40.89530563,-74.16423035,10
2024-11-23,NJ,Personal,4,2024-11-24 00:04,40.88947296,-74.16021729,4
2024-11-23,NJ,Personal,30,2024-11-24 01:33,40.89310074,-74.16375732,30
2024-11-23,NJ,Personal,5,2024-11-24 01:39,40.89738846,-74.16189575,5
2024-11-23,NJ,Personal,5,2024-11-24 01:44,40.90328979,-74.09690094,5
2024-11-23,NJ,Personal,5,2024-11-24 01:49,40.86641312,-74.02476501,5
2024-11-23,NJ,Personal,5,2024-11-24 01:54,40.83422852,-74.00947571,5
2024-11-23,NJ,Personal,5,2024-11-24 01:59,40.81805038,-74.00450897,5
2024-11-23,NJ,Personal,5,2024-11-24 02:04,40.8099823,-74.00165558,5
2024-11-23,NJ,Personal,10,2024-11-24 02:11,40.80561447,-74.00018311,10
2024-11-23,NJ,Personal,1209,2024-11-24 02:16,40.79550934,-73.98918915,1209
2024-11-23,NJ,Personal,121,2024-11-24 02:21,40.80059433,-73.9949646,121
